Registry Key,Execution Time (seconds)
fact_extraction,170.9192170999595
character_generation,44.25420150003629
plan_generation,431.82335319998674
narrative_start,74.74477960000513
clue_0,51.05582080001477
narrative_0,102.60094279999612
question_0,84.59247559995856
clue_1,56.01843330002157
narrative_1,119.14508190000197
question_1,85.0317143999855
clue_2,52.984891000029165
narrative_2,152.66936220001662
question_2,72.06031720002647
clue_3,54.31965959997615
narrative_3,174.59671539999545
question_3,90.16138939996017
narrative_end,170.81343149999157
