Registry Key,Execution Time (seconds)
fact_extraction,169.53558929997962
character_generation,46.975041900004726
plan_generation,455.7438607000513
narrative_start,77.03666619997239
clue_0,50.66896219999762
narrative_0,104.09961040003691
question_0,82.60538999998244
clue_1,54.44684250000864
narrative_1,116.48305430001346
question_1,88.3100470000063
clue_2,54.512204899976496
narrative_2,132.43596579995938
question_2,93.81151950004278
clue_3,58.13625039998442
narrative_3,147.62669300002744
question_3,94.93226600001799
narrative_end,148.88301849999698
