Registry Key,Execution Time (seconds)
fact_extraction,155.0227979000192
character_generation,44.995147299952805
plan_generation,417.4972891000216
narrative_start,83.36236389999976
clue_0,47.88027510000393
narrative_0,100.58313170005567
question_0,59.15767509996658
clue_1,50.78532860003179
narrative_1,119.62432960001752
question_1,77.1261308999965
clue_2,55.415714200004004
narrative_2,164.78448130004108
question_2,74.69123250001576
clue_3,53.65342760004569
narrative_3,174.07280590001028
question_3,77.86529280000832
narrative_end,166.79578260000562
