Registry Key,Execution Time (seconds)
fact_extraction,164.97936980001396
character_generation,41.648535300046206
plan_generation,434.56230809999397
narrative_start,72.08508069999516
clue_0,53.92124609998427
narrative_0,105.60540419997415
question_0,88.42136249999749
clue_1,60.662816199997906
narrative_1,122.74294440000085
question_1,93.8419665999827
clue_2,57.76725659996737
narrative_2,138.4169230000116
question_2,86.64544699998805
clue_3,56.5928103000042
narrative_3,164.31185440003173
question_3,83.32241120003164
narrative_end,159.56313969998155
