Registry Key,Execution Time (seconds)
fact_extraction,158.35614780004835
character_generation,41.98259379999945
plan_generation,464.4709386000177
narrative_start,77.17384870001115
clue_0,52.796705699991435
narrative_0,121.15135330002522
question_0,80.94537309999578
clue_1,62.16541640000651
narrative_1,128.81569879996823
question_1,90.07414330000756
clue_2,56.870747399982065
narrative_2,160.612111800001
question_2,81.79697880003368
clue_3,57.987755799957085
narrative_3,185.63947639998514
question_3,86.25360990001354
narrative_end,193.8207075999817
