Registry Key,Execution Time (seconds)
fact_extraction,165.29510390001815
character_generation,44.43042600003537
plan_generation,460.1903356999974
narrative_start,72.89112779998686
clue_0,50.18406749999849
narrative_0,102.0296428000438
question_0,74.27982999995584
clue_1,55.606683399993926
narrative_1,122.60242909996305
question_1,81.53188059997046
clue_2,55.33895569999004
narrative_2,145.2910732999444
question_2,74.70667910005432
clue_3,54.28705539996736
narrative_3,162.00520800001686
question_3,77.0877547999844
narrative_end,157.25374110002303
