Registry Key,Execution Time (seconds)
fact_extraction,163.84721030003857
character_generation,42.856816299958155
plan_generation,418.14305740001146
narrative_start,81.44289770000614
clue_0,51.61326849996112
narrative_0,182.08640879997984
question_0,84.60191420000046
clue_1,56.844907300022896
narrative_1,251.02490030002082
question_1,80.9349230999942
clue_2,54.843915099976584
narrative_2,271.38296989997616
question_2,85.8539186999551
clue_3,53.5964348000125
narrative_3,316.8215076000197
question_3,89.27960269997129
narrative_end,297.37440919998335
